# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1416339616;-1;23.57;0.00;8.30;0.52;0.00;67.61
axle;60;1416339616;0;37.08;0.00;15.65;1.48;0.00;45.79
axle;60;1416339616;1;24.10;0.00;18.40;2.28;0.00;55.23
axle;60;1416339616;2;16.35;0.00;10.87;0.72;0.00;72.07
axle;60;1416339616;3;7.39;0.00;10.16;0.75;0.00;81.70
axle;60;1416339616;4;8.57;0.00;7.28;0.13;0.00;84.02
axle;60;1416339616;5;12.82;0.00;7.80;0.15;0.00;79.23
axle;60;1416339616;6;10.26;0.00;5.21;0.00;0.00;84.53
axle;60;1416339616;7;16.50;0.00;4.05;0.00;0.00;79.45
axle;60;1416339616;8;9.28;0.00;6.96;0.08;0.00;83.68
axle;60;1416339616;9;24.74;0.00;10.45;0.00;0.00;64.81
axle;60;1416339616;10;9.83;0.00;5.23;0.20;0.00;84.74
axle;60;1416339616;11;16.71;0.00;6.24;0.00;0.00;77.05
axle;60;1416339616;12;40.86;0.00;4.13;0.00;0.00;55.02
axle;60;1416339616;13;39.38;0.00;5.72;0.07;0.00;54.83
axle;60;1416339616;14;50.18;0.00;5.24;0.05;0.00;44.53
axle;60;1416339616;15;52.79;0.00;9.41;2.44;0.00;35.36
axle;60;1416339676;-1;12.75;0.00;6.36;0.00;0.00;80.88
axle;60;1416339676;0;7.80;0.00;16.24;0.02;0.00;75.94
axle;60;1416339676;1;33.97;0.00;17.52;0.00;0.00;48.50
axle;60;1416339676;2;4.54;0.00;5.48;0.00;0.00;89.97
axle;60;1416339676;3;2.40;0.00;5.41;0.00;0.00;92.19
axle;60;1416339676;4;1.49;0.00;3.31;0.00;0.00;95.20
axle;60;1416339676;5;7.74;0.00;3.84;0.02;0.00;88.40
axle;60;1416339676;6;1.67;0.00;3.35;0.00;0.00;94.98
axle;60;1416339676;7;6.25;0.00;3.13;0.00;0.00;90.62
axle;60;1416339676;8;2.67;0.00;9.92;0.00;0.00;87.41
axle;60;1416339676;9;19.78;0.00;9.99;0.00;0.00;70.23
axle;60;1416339676;10;10.42;0.00;3.59;0.00;0.00;85.99
axle;60;1416339676;11;6.00;0.00;3.97;0.00;0.00;90.03
axle;60;1416339676;12;23.42;0.00;3.14;0.00;0.00;73.44
