BEGIN;
BEGIN
select
	s_name,
	s_address
from
	supplier,
	nation
where
	s_suppkey in (
		select
			ps_suppkey
		from
			partsupp
		where
			ps_partkey in (
				select
					p_partkey
				from
					part
				where
					p_name like 'rosy%'
			)
			and ps_availqty > (
				select
					0.5 * sum(l_quantity)
				from
					lineitem
				where
					l_partkey = ps_partkey
					and l_suppkey = ps_suppkey
					and l_shipdate >= '1996-01-01'
					and l_shipdate < cast(date '1996-01-01' + interval '1 year' as date)
			)
	)
	and s_nationkey = n_nationkey
	and n_name = 'GERMANY'
order by
	s_name;
          s_name           |                s_address                 
---------------------------+------------------------------------------
 Supplier#000000135        | F4Uy ZQNU6ESTmO3mrL,mI
 Supplier#000000148        | bkCBZzewuerw8xHv
 Supplier#000000158        |  fkjbx7,DYi
 Supplier#000000182        | KuSXGdsAdYdkhzVLmgo4Xs
 Supplier#000000232        | 90YJjotHlfwyieaTfuBJ8kohU5Oc83bESout,p
 Supplier#000000369        | XKLa3tQT7,TgtuLi2Vme8vGyx
 Supplier#000000387        | EEmqrW2gNAbuJjKuTPgA8kmKA0bZcQSmV
 Supplier#000000563        | Rc7U1cRUhYs03JD
 Supplier#000000587        | 58,gb EuMperMCg2lv XUQ9vi4GzhO2a
 Supplier#000000598        | p9AGBjg4DZuChQbY8gAj3LtMrxpOWqMpJR
 Supplier#000000617        | Q4haZeO8aVzl2dXziDw3f
 Supplier#000000649        | 8sfoyPTvZbFMXC93ti9qSI6dYN0QuXh3wO
 Supplier#000000741        | BLP6zAc29lDLOvSE3 h2
 Supplier#000000756        | ySXGqbQpYbXLoaFMKqIdH5Pai
 Supplier#000000841        | dvQXS7Wi29wVuSUWsknpHVQWVrJ6cUvB8V
 Supplier#000000896        | yvNZycuQYm9d9A8v1m
 Supplier#000000933        | TrYn5zjv6nrT47EwbXi1S,IU
 Supplier#000000959        | 8grA EHBnwOZhO
 Supplier#000000965        | aPiA00HXK1,L2FmArcXVT
 Supplier#000001035        | irCdtj9FHyuwJKYnueu0HC4G1Yjgam2v 1vA2gk
 Supplier#000001189        | xYOLJtZstk3lh 2O8H231cTkSQ8rKbNCC,i9vZY
 Supplier#000001327        | muW6V1krHMhQ T9mkugDpE
 Supplier#000001400        | i6nWwfxMJ4gIaenOIIt9UThgqj
 Supplier#000001428        | luS0rWgXC0XOY2U00gRU5LIz
 Supplier#000001436        | iDMEIlE8DQxPsRZM3zadhdJXcD2sauZgP97S
 Supplier#000001494        | nqNP5GmByEQ496Y3MgUngQ
 Supplier#000001563        | grObTJRTIz1LDICvxmD1XjMNbu6E
 Supplier#000001621        | QrXudFjJgUNHGLm BUzakaXGp
 Supplier#000001629        | kUeaD,ZEdnrWnc3qKMvBetl,y1cGrBaBvFI
 Supplier#000001658        | CGwZVa1qTQ
 Supplier#000001664        | M5qDkAFsr,ppM41RKZ7cc
 Supplier#000001728        | 0AHX,VyDusbxz
 Supplier#000001731        | Dqy8LQtY5i8GygrdOC1lt,OVsIgrGoL8Z3PMs
 Supplier#000001972        | 1ufqdQLhkBkRF4nWBpgbLzVP,Be0ZwwtSIVnLx
 Supplier#000002053        | 75Amlumtzs nRLz1Q lMf
 Supplier#000002159        | DhZwT2g62r5JoS
 Supplier#000002181        | RoBanQQ2CwVL4rIXA4
 Supplier#000002194        | HlAexHmxKXQNawzR1EN
 Supplier#000002277        | uxpnnDRwK1m, 
 Supplier#000002293        | 1sm7JDyklc59d5Ogy8ZryanOpnod8,XVQ
 Supplier#000002300        | cKyPkKvkeN
 Supplier#000002324        | y3OD9UywSTOk
 Supplier#000002380        | 1Q00W4cwp0F
 Supplier#000002407        | e2sFnvk7D93Bgq5lyOWNHqUq
 Supplier#000002450        | MR GbefBrwM AmKJtpAkFZ72EvomYHyaQ0
 Supplier#000002475        | TNYNqO3V1Z32WQBWFjxqMrEPwBtSHx0DWodbL3
 Supplier#000002501        |  QzqpvJ3UdO w13Hcrh1QNsY6Z3 kONPdatHGsPA
 Supplier#000002531        | 4aZc7CD0nvPmCCjmjkg8K0w3QcwwbFz2 4PSsokq
 Supplier#000002683        | WMUccHizpga,Z2BSAV
 Supplier#000002713        | yAt5WmRDsnVPjGx9IEzPIWatZhz4yuqY5p
 Supplier#000002725        | LoFZWIp7I4NZHNzj,n2o
 Supplier#000002737        | jCTp6rTlySOAhwrVApGT2gKddKhnOiCIJAJ3Ua
 Supplier#000002931        | aUivhoesqMqv0FmJcPBMxBSl8DJvXBGj
 Supplier#000002940        | kCNPx,OJnJWYi6qd32vGytk
 Supplier#000002996        | Qn0ukH2JOjam20O8Z5DeB1XS2t
 Supplier#000003021        | 95BmhvrcF4aL3B Amoz6pl
 Supplier#000003092        | K HgdzaxErLyn4PNiB2CZhbmriyoHszsh
 Supplier#000003108        | XEBuwVaeU4N8eTeIty
 Supplier#000003113        | HjX8M2Bjlz7pAcLzpyKT9 wNb
 Supplier#000003122        | oKI3ONEMwkYHffGipz L1z1bfsSg3
 Supplier#000003131        | D2geDBAwmRoaL7ha1MTaQTyg1AAS
 Supplier#000003243        | 2HMGu Uu5VPguQQyK
 Supplier#000003329        | a91m3F 96b
 Supplier#000003389        | ERhdA2izb269guC2h1xUWmvje0VVfwSkkR
 Supplier#000003416        | xSA,iuriMU
 Supplier#000003596        | pyXt0UgE4TvoiL
 Supplier#000003671        | WpUjKrK38i3Vme2OCxx8Zcm4sMw 
 Supplier#000003753        | 26,OuQK5ZAVhinkxUo1KiBCMlmFPlp6DqTM
 Supplier#000003866        | F d5ptZhKCBX pMd1 QOZzS5Sxs62By
 Supplier#000003899        | sLSuM,Ce4yHgzs4llKKAX79S
 Supplier#000003995        | ziDsQHfuoMyaCJhv4WJC7SlqjOOUyFMBeWOOMz
 Supplier#000004062        | BR,3UXBpQ85yXn,Mdpp
 Supplier#000004064        | W7lP8LAhnBnDdcF
 Supplier#000004101        | 61PPU02b8s71S8BVs1Dw,2dlJR68l2pgW3VL5bZs
 Supplier#000004255        | Qve06kw6vAOIeAavZqWRiHeEJo7eh
 Supplier#000004275        | Z3aD DmnFIMXQqgX2
 Supplier#000004404        | nClT5NhhPdxViApjx3ahv ryCqj7R2pj
