BEGIN;
BEGIN
select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from
	partsupp,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#21'
	and p_type not like 'MEDIUM PLATED%'
	and p_size in (1, 23, 22, 35, 4, 34, 31, 39)
	and ps_suppkey not in (
		select
			s_suppkey
		from
			supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;
  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#12   | ECONOMY ANODIZED STEEL    |     31 |          100
 Brand#33   | LARGE BURNISHED NICKEL    |     35 |          100
 Brand#54   | PROMO ANODIZED BRASS      |     35 |          100
 Brand#55   | PROMO BURNISHED STEEL     |     22 |           99
 Brand#34   | MEDIUM BRUSHED STEEL      |     23 |           96
 Brand#45   | MEDIUM BRUSHED BRASS      |     31 |           96
 Brand#52   | PROMO POLISHED STEEL      |     35 |           96
 Brand#11   | SMALL BURNISHED STEEL     |     35 |           92
 Brand#11   | STANDARD BRUSHED TIN      |     23 |           92
 Brand#15   | PROMO ANODIZED BRASS      |     22 |           92
 Brand#23   | ECONOMY POLISHED COPPER   |      1 |           92
 Brand#25   | MEDIUM BRUSHED STEEL      |     39 |           92
 Brand#32   | LARGE BRUSHED COPPER      |     39 |           92
 Brand#35   | SMALL ANODIZED NICKEL     |     35 |           92
 Brand#43   | LARGE ANODIZED STEEL      |      4 |           92
 Brand#43   | PROMO POLISHED BRASS      |      1 |           92
 Brand#52   | LARGE PLATED NICKEL       |     39 |           92
 Brand#55   | SMALL PLATED COPPER       |     39 |           92
 Brand#11   | LARGE BRUSHED NICKEL      |     34 |           88
 Brand#11   | LARGE PLATED BRASS        |     39 |           88
 Brand#12   | ECONOMY PLATED BRASS      |     35 |           88
 Brand#14   | SMALL ANODIZED STEEL      |      4 |           88
 Brand#15   | MEDIUM ANODIZED COPPER    |     22 |           88
 Brand#23   | PROMO POLISHED STEEL      |     23 |           88
 Brand#32   | MEDIUM ANODIZED BRASS     |      1 |           88
 Brand#32   | SMALL ANODIZED BRASS      |     31 |           88
 Brand#34   | LARGE BRUSHED NICKEL      |     23 |           88
 Brand#34   | STANDARD PLATED COPPER    |     39 |           88
 Brand#35   | STANDARD POLISHED COPPER  |     22 |           88
 Brand#42   | MEDIUM POLISHED COPPER    |     35 |           88
 Brand#42   | STANDARD BURNISHED STEEL  |     22 |           88
 Brand#43   | MEDIUM BRUSHED BRASS      |     35 |           88
 Brand#43   | STANDARD POLISHED TIN     |     23 |           88
 Brand#52   | PROMO BRUSHED STEEL       |     22 |           88
 Brand#53   | ECONOMY ANODIZED COPPER   |     23 |           88
 Brand#53   | SMALL POLISHED TIN        |      1 |           88
 Brand#55   | SMALL ANODIZED NICKEL     |     22 |           88
 Brand#12   | PROMO PLATED COPPER       |      4 |           87
 Brand#45   | PROMO BURNISHED BRASS     |     31 |           87
 Brand#11   | MEDIUM BRUSHED TIN        |      4 |           84
 Brand#11   | STANDARD ANODIZED NICKEL  |     22 |           84
 Brand#12   | SMALL BRUSHED COPPER      |     34 |           84
 Brand#13   | LARGE BRUSHED NICKEL      |     23 |           84
 Brand#13   | PROMO POLISHED NICKEL     |     22 |           84
 Brand#13   | STANDARD PLATED NICKEL    |     31 |           84
 Brand#15   | LARGE BURNISHED TIN       |     34 |           84
 Brand#15   | PROMO POLISHED TIN        |     22 |           84
 Brand#15   | SMALL PLATED NICKEL       |     22 |           84
 Brand#22   | MEDIUM BRUSHED TIN        |     22 |           84
 Brand#23   | ECONOMY BRUSHED COPPER    |     35 |           84
 Brand#23   | PROMO ANODIZED STEEL      |     31 |           84
 Brand#24   | SMALL ANODIZED TIN        |      4 |           84
 Brand#25   | ECONOMY BURNISHED NICKEL  |     35 |           84
 Brand#25   | SMALL BURNISHED BRASS     |     31 |           84
 Brand#31   | PROMO PLATED COPPER       |     35 |           84
 Brand#31   | SMALL PLATED STEEL        |     31 |           84
 Brand#31   | STANDARD BURNISHED STEEL  |     34 |           84
 Brand#32   | ECONOMY BRUSHED STEEL     |     39 |           84
 Brand#32   | LARGE BRUSHED TIN         |      1 |           84
 Brand#33   | ECONOMY ANODIZED COPPER   |      1 |           84
 Brand#33   | PROMO POLISHED NICKEL     |     31 |           84
 Brand#34   | LARGE BURNISHED COPPER    |     23 |           84
 Brand#34   | SMALL BRUSHED NICKEL      |     34 |           84
 Brand#35   | STANDARD BRUSHED COPPER   |     31 |           84
 Brand#41   | PROMO BRUSHED TIN         |     22 |           84
 Brand#42   | MEDIUM BURNISHED NICKEL   |     23 |           84
 Brand#42   | SMALL BRUSHED BRASS       |     23 |           84
 Brand#42   | STANDARD BRUSHED NICKEL   |      4 |           84
